,CPRO,NOMBRE
0,1,Araba/Álava
1,2,Albacete
2,3,Alicante/Alacant
3,4,Almería
4,5,Ávila
5,6,Badajoz
6,7,"Balears, Illes"
7,8,Barcelona
8,9,Burgos
9,10,Cáceres
10,11,Cádiz
11,12,Castellón/Castelló
12,13,Ciudad Real
13,14,Córdoba
14,15,"Coruña, A"
15,16,Cuenca
16,17,Girona
17,18,Granada
18,19,Guadalajara
19,20,Gipuzkoa
20,21,Huelva
21,22,Huesca
22,23,Jaén
23,24,León
24,25,Lleida
25,26,"Rioja, La"
26,27,Lugo
27,28,Madrid
28,29,Málaga
29,30,Murcia
30,31,Navarra
31,32,Ourense
32,33,Asturias
33,34,Palencia
34,35,"Palmas, Las"
35,36,Pontevedra
36,37,Salamanca
37,38,Santa Cruz de Tenerife
38,39,Cantabria
39,40,Segovia
40,41,Sevilla
41,42,Soria
42,43,Tarragona
43,44,Teruel
44,45,Toledo
45,46,Valencia/València
46,47,Valladolid
47,48,Bizkaia
48,49,Zamora
49,50,Zaragoza
50,51,Ceuta
51,52,Melilla
52,66,Extranjero
